youtube_id,episode_number,name,description,air_date,season_num
kdlHV6ceI_g,701,Winter Cabin,"""In the midst of a cold, wintry forest, Bob Ross gently places a magical little wooden shanty upon a bed of soft snow.""",1985-10-02,7
2OxSJcFvpoU,702,Secluded Lake,"""With brush in hand, Bob Ross leads you on a summertime nature walk, as you uncover the beauty of leafy trees and pond.""",1985-10-09,7
YQPEy3hYGo8,703,Evergreens At Sunset,"""Using a different technique or two, Bob Ross creates a fascinating scene – watch the sun drop below the horizon, just behind the shadow of trees.""",1985-10-16,7
E3IAMvO8GyM,704,Mountain Cabin,"""To capture the innocence of a stream-side cottage, Bob Ross creates a giant mountain standing majestically in the distance.""",1985-10-23,7
MHJB0IBnuD4,705,Portrait of Sally,"""Visiting artist, Ben Stahl, uses a more traditional painting method to bring out the coy loveliness of a little girl.""",1985-10-30,7
530_cVmexiI,706,Misty Waterfall,"""Bob Ross helps a timid little stream find its way to a delightful waterfall, while gazing upon a forest of elegant trees.""",1985-11-06,7
WT6n0K2zGnA,707,Barn At Sunset,"""Bob Ross paints an expansive barn appearing half-covered in a snowy setting of frost bitten foliage and sun-kissed sky.""",1985-11-13,7
GhOGZMpPUSE,708,Mountain Splendor,"It’s almost fall, and Bob Ross captures the undaunted power and charm of a mighty brown mountain surveying its rustic surroundings.",1985-11-20,7
yAiYirlcq7o,709,Lake By Mountain,"Talented guest painter Steve Ross shows you how to create a mirror-like lake spanning the width of snowy peaks and foothills.",1985-11-27,7
0M9pwLHRR2c,710,Mountain Glory,"Layers and layers of mountains, as far as the eye can see -- Bob Ross shows us the secret to creating a larger-than-life landscape.",1985-12-06,7
sS-hNYgDUak,711,Grey Winter,"Bob Ross uses monochromatic tones to convey the icy coldness of a silvery lake surrounded by lacy trees and bushes – brr!",1985-12-13,7
4KYxkqlzyqM,712,Dock Scene,"An abandoned shipping boat hugs a pier in a water scene that Bob Ross completes with some charming old dockside storage sheds.",1985-12-20,7
VqMbL00eZqw,713,Dark Waterfall,"Watch Bob Ross create a sweet little waterfall in the middle of a protective forest of glorious early autumn foliage.",1985-12-27,7
